mention_id,platform,source_name,Brand social media link,text,brand_name,language,sentiment,topic,relevance_score,engagement,product_mentioned,product_id
mention_00666,Noon,user_3502,https://noon.com/product/EVA-0031/review/mention_00666,"Average product, nothing special",Eva Cosmetics,en,negative,general_mention,0.7,{'helpful_votes': 14},Eva Strengthening Shampoo,EVA-0031
mention_00625,Jumia,user_8439,https://jumia.com/product/EVA-0047/review/mention_00625,سعره مناسب وجودته عالية,Eva Cosmetics,ar,neutral,price_value,0.7,{'helpful_votes': 16},إيفا Roll-On Whitening,EVA-0047
mention_00116,Facebook,user_6661,https://facebook.com/posts/716113,PSA: Eva is having a sale! 50% off,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 73, 'comments': 69, 'shares': 5}",Eva Glycerin Soap,EVA-0057
mention_00479,Instagram,user_6542,https://instagram.com/p/644315,ثبات ضعيف جدا,Eva Cosmetics,ar,neutral,longevity,0.7,"{'likes': 547, 'comments': 98}",إيفا Leave-in Conditioner,EVA-0029
mention_00234,Instagram,user_8775,https://instagram.com/p/378428,Eva sale happening now! 50% off,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 607, 'comments': 39}",Eva Vanilla Dream,EVA-0004
mention_00725,Twitter,user_8132,https://twitter.com/user_8132/status/3981279224,"Eva delivery took 2 weeks, disappointed",Eva Cosmetics,en,negative,customer_service,1.0,"{'likes': 33, 'retweets': 43, 'replies': 13}",Eva Aloe Vera Soap,EVA-0056
mention_00209,Twitter,user_2063,https://twitter.com/user_2063/status/1963110410,Excellent product,Eva Cosmetics,en,positive,general_mention,0.7,"{'likes': 44, 'retweets': 87, 'replies': 20}",Eva Roll-On Floral,EVA-0045
mention_00868,Jumia,user_9032,https://jumia.com/product/EVA-0064/review/mention_00868,Caused skin irritation,Eva Cosmetics,en,negative,skin_reaction,0.7,{'helpful_votes': 12},Eva Clay Mask,EVA-0064
mention_00940,Twitter,user_6823,https://twitter.com/user_6823/status/3162277965,بموت فيه,Eva Cosmetics,ar,negative,general_mention,0.7,"{'likes': 217, 'retweets': 52, 'replies': 6}",إيفا Body Lotion Shea Butter,EVA-0033
mention_00480,Jumia,user_8895,https://jumia.com/product/EVA-0032/review/mention_00480,Doesn't moisturize enough,Eva Cosmetics,en,negative,moisturizing,0.7,{'helpful_votes': 6},Eva Color Protect Shampoo,EVA-0032
